;;BLKX;XINS;S;INSTINET BLOCKCROSS ATS;BLKX;NEW YORK;WWW.INSTINET.COM;Jul 19;ACTIVE;Sep 12;ALTERNATIVE TRADING SYSTEM.
;;BLTD;BLTD;O;BLOOMBERG TRADEBOOK LLC;;NEW YORK;WWW.BLOOMBERGTRADEBOOK.COM;Nov 07;ACTIVE;Nov 07;
;;BLUE;BLUE;O;PRO SECURITIES ATS;PROS;NEW YORK;;Jan 19;ACTIVE;Jan 19;ALTERNATIVE TRADING SYSTEM.
;;BNDD;TRWB;S;TRADEWEB DIRECT LLC;;NEW YORK;WWW.TRADEWEB.COM;Feb 17;ACTIVE;Aug 07;
;;BNPC;BNPC;O;BNPP CORTEX ATS;BNPX;NEW YORK;HTTPS://USA.BNPPARIBAS/EN/;Feb 21;ACTIVE;Feb 21;ALTERNATIVE TRADING SYSTEM.
;;BNYC;BNYC;O;CONVERGEX;;NEW YORK;WWW.CONVERGEX.COM;Dez 12;ACTIVE;Dez 12;
;;BOSD;XNAS;S;NASDAQ OMX BX DARK;NQBXDARK;NEW YORK;WWW.NASDAQOMXTRADER.COM;Apr 12;ACTIVE;Apr 12;DARK POOL
;;BPOL;BLTD;S;BLOOMBERG BPOOL;;NEW YORK;WWW.BLOOMBERG.COM;Dez 12;ACTIVE;Dez 12;ELECTRONIC TRADING PLATFORM
;;BSTX;BSTX;O;BOSTON SECURITY TOKEN EXCHANGE LLC;;BOSTON;WWW.BSTX.COM;Okt 20;ACTIVE;Okt 20;
;;BTEC;BTEC;O;ICAP ELECTRONIC BROKING (US);;JERSEY CITY;WWW.ICAP.COM;Jun 07;ACTIVE;Jun 07;
;;BTEQ;BTEC;S;BROKERTEC AMERICAS LLC - RFQ PLATFORM;US QUOTE;NEW YORK;WWW.CMEGROUP.COM;Jun 20;ACTIVE;Jun 20;
;;BTNL;BTNL;O;BITNOMIAL;;CHICAGO;WWW.BITNOMIAL.COM;Nov 17;ACTIVE;Nov 17;ELECTRONIC TRADING PLATFORM, DESIGNATED CONTRACT MARKET (DCM).
;;BVUS;MTUS;S;BONDVISION US;;NEW YORK;WWW.MTSMARKETS.COM;Aug 14;ACTIVE;Jul 14;ELECTRONIC TRADING PLATFORM FOR GOVIES AND NON GOVIES
;;BYXD;XCBO;S;CBOE BYX U.S. EQUITIES EXCHANGE DARK;BYXDARK;CHICAGO;HTTP://MARKETS.CBOE.COM/;Jun 18;ACTIVE;Feb 15;CBOE BYX U.S. EQUITIES EXCHANGE NON-DISPLAYED.
;;BZXD;XCBO;S;CBOE BZX U.S. EQUITIES EXCHANGE DARK;BZXDARK;CHICAGO;HTTP://MARKETS.CBOE.COM/;Jun 18;ACTIVE;Feb 15;CBOE BZX U.S. EQUITIES EXCHANGE NON-DISPLAYED.
;;C2OX;XCBO;S;CBOE C2 OPTIONS EXCHANGE;C2OX;CHICAGO;HTTP://MARKETS.CBOE.COM/;Sep 20;ACTIVE;Mai 09;C2 OPTIONS EXCHANGE.
;;CAES;CRED;S;CREDIT SUISSE AES CROSSFINDER;;NEW YORK;WWW.CREDIT-SUISSE.COM;Sep 09;ACTIVE;Sep 09;REGISTERED ATS
;;CALH;CALH;O;CLSA AMERICAS - LIQUIDITY HUB;;NEW YORK;WWW.CLSA.COM;Dez 19;ACTIVE;Dez 19;ADR LIQUIDITY HUB.
;;CAVE;OTCM;S;CAVEAT EMPTOR;;NEW YORK;WWW.OTCMARKETS.COM;Aug 12;ACTIVE;Aug 12;CORPORATE ACTIONS — CAVEAT EMPTOR.
;;CBLC;CGMI;S;CITIBLOC;CBLC;NEW YORK;WWW.CITIBANK.COM/MSS/PRODUCTS/EQUITIES/E_TRADING/LIQUIDITY.HTML;Apr 18;ACTIVE;Jan 16;CITIBLOC IS AN ATS UNDER THE OPERATING MIC CGMI
;;CBSX;XCBO;S;CBOE STOCK EXCHANGE;CBSX;CHICAGO;WWW.CBSX.COM;Jul 08;ACTIVE;Jul 08;FOR EQUITIES
;;CBTS;XCME;S;CME SWAPS MARKETS (CBOT);;CHICAGO;WWW.CMEGROUP.COM;Okt 13;ACTIVE;Okt 13;REGISTERED MARKET FOR SWAP EXECUTION IN THE US
;;CCMX;CCMX;O;CARTAX;;NEW YORK;HTTPS://CARTA.COM/X;Sep 20;ACTIVE;Sep 20;
;;CDED;CDED;O;CITADEL SECURITIES;;NEW YORK;WWW.CITADELSECURITIES.COM;Dez 15;ACTIVE;Mai 11;ELECTRONIC MARKET MAKER.
;;CECS;XCME;S;CME SWAPS MARKETS (COMEX);;NEW YORK;WWW.CMEGROUP.COM;Okt 13;ACTIVE;Okt 13;REGISTERED MARKET FOR SWAP EXECUTION  OF METALS IN THE US
;;CGMI;CGMI;O;CITIGROUP GLOBAL MARKETS;;NEW YORK;WWW.CITIGROUP.COM;Mrz 12;ACTIVE;Mrz 12;
;;CGXS;CGXS;O;ONECHRONOS;;NEW YORK;WWW.ONECHRONOS.COM;Jan 21;ACTIVE;Jan 21;
;;CIOI;CGMI;S;CIOI;CIOI;NEW YORK;WWW.CITIVELOCITY.COM;Apr 18;ACTIVE;Apr 18;
