Product Status;Instrument Status;Instrument;ISIN;Product ID;Instrument ID;WKN;Mnemonic;Primary Market MIC Code
Active;Active;SPDR MSCI EUR.H.CAR.UETF;IE00BKWQ0H23;53341;2505434;000A1191S;SPYH;XPAR
Active;Active;SPDR MSCI EUROPE IND.UETF;IE00BKWQ0J47;53342;2505435;000A1191T;SPYQ;XPAR
Active;Active;SPDR MSCI EUR.TECH.UETF;IE00BKWQ0K51;53343;2505436;000A1191U;SPYK;XPAR
Active;Active;SPDR MSCI EUR.MAT.UETF;IE00BKWQ0L68;53344;2505437;000A1191V;SPYP;XPAR
Active;Active;SPDR MSCI EUR.CO.SER.UETF;IE00BKWQ0N82;53346;2505439;000A1191X;SPYT;XPAR
Active;Active;SPDR MSCI EUR.UTIL.UETF;IE00BKWQ0P07;53347;2505440;000A1191Y;SPYU;XPAR
Active;Active;SPDR MSCI EUR.UCITS ETF;IE00BKWQ0Q14;53348;2505441;000A1191Q;SPYE;XPAR
Active;Active;VANGUARD FTSE 250UETF LSD;IE00BKX55Q28;58963;2749234;000A12CX0;VMID;XLON
Active;Active;VANG.FTSE N.AME.U.ETF DLD;IE00BKX55R35;58964;2749235;000A12CXY;VNRT;XLON
Active;Active;VANG.FTSE D.E.XUK UETFEOD;IE00BKX55S42;58965;2749236;000A12CXZ;VERX;XAMS
Active;Active;VANG.FTSE DEV.W.U.ETF DLD;IE00BKX55T58;58966;2749237;000A12CX1;VGVE;XLON
Active;Active;TABUL.IC.-UEUE CL-HEOA;IE00BKX90X67;369281;6392768;000A2QDG1;TABI;XDUB
Active;Active;HSBC-US SUST.E. DLA;IE00BKY40J65;259683;5424091;000A2PXVQ;H412;XLON
Active;Active;WI.IC.BR.COMMO. DLA;IE00BKY4W127;439841;7112580;000A2QSKH;PCOM;XDUB
Active;Active;HSBC-JAP.SUS.E. DLA;IE00BKY55S33;259682;5424090;000A2PXVN;XU8Z;XLON
Active;Active;HSBC-EUROP.S.E. EOA;IE00BKY55W78;259681;5424089;000A2PXVM;H413;XLON
Active;Active;HSBC-AS.P.EXJ.S.EQ. DL A;IE00BKY58G26;289890;5594720;000A2PXVH;H4Z2;XLON
Active;Active;HSBC-EM.M.S.E. DLA;IE00BKY59G90;289891;5594721;000A2PXVK;H4Z1;XLON
Active;Active;HSBC-D.W.SUS.E. DLA;IE00BKY59K37;267183;5490242;000A2PXVJ;H41C;XFRA
Active;Active;HSBC BLBG EO SUS.C.BD DLA;IE00BKY81627;442731;7121503;000A3CLTJ;HUSC;XLON
Active;Active;HSBC BLBG EO SUS.C.BD EOA;IE00BKY81B71;442730;7121502;000A3CLTH;HEUC;XLON
Active;Active;HSBC M.FAC.WORLDW.EQU. DL;IE00BKZGB098;221266;5035586;000A116RM;H41J;XSWX
Active;Active;VANECK MS GL. MOAT UC.ETF;IE00BL0BMZ89;257884;5413349;000A2P6EP;VVGM;XDUB
Active;Active;X(IE)-MSCI WRLD QUAL.1CDL;IE00BL25JL35;53353;2505446;000A1103D;XDEQ;XFRA
Active;Active;X(IE)-MSCI WORLD VAL.1CDL;IE00BL25JM42;53354;2505447;000A1103E;XDEV;XFRA
Active;Active;X(IE)-MSCI WO.MI.VO. 1CDL;IE00BL25JN58;53355;2505448;000A1103F;XDEB;XFRA
Active;Active;X(IE)-MSCI WRLD MOM. 1CDL;IE00BL25JP72;53356;2505449;000A1103G;XDEM;XFRA
Active;Active;X(IE)-ESG DL COBD 1CDL;IE00BL58LJ19;287545;5578450;000A2P5C7;XZBU;XFRA
Active;Active;X(IE)-ESG DL COBD SCEOHD;IE00BL58LL31;312367;5878834;000A2P5C9;XZBE;XFRA
Active;Active;HANE.I-DIG.INF.DLA;IE00BL643144;298499;5694643;000A2QB9J;DIGI;XDUB
Active;Active;L+G IND.INR DLD;IE00BL6K6H97;426018;6972681;000A3CRPV;TIGR;XFRA
Active;Active;IS2-MEURPACUETF EOA;IE00BL6K8C82;491020;7615398;000A3CPAH;CBUA;XAMS
Active;Active;TA.EU.ITR.BD U.ETF(EO)EOD;IE00BL6XZW69;198666;4693450;000A2PW5L;TABX;XDUB
Active;Active;INVESCOM2 USDTRSY01Y EUR;IE00BLCH1X54;227046;5112326;000A2P1FV;T1EU;XFRA
